filename,wavenumber,wavenumber_calibrated,sum_withoutIR,sum_withIR,depletion,-ln(depletion),yield_IR
fullrange_depletion_data_C8H6Br0(0)_1880-659,1253.0,1221.7010999999998,0.0961961615830659,0.0838812850415706,0.9098122649906744,0.1054121212857779,-7.66113194301978e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1257.0,1225.5363,0.1402276288717985,0.1123777264729142,0.8158805491962251,0.1942714060658499,-0.00014232317405601946
fullrange_depletion_data_C8H6Br0(0)_1880-659,1259.0,1227.4539,0.1001771511510014,0.0923848170787096,0.8661171329297888,0.1450565266233861,-0.00010668705933671606
fullrange_depletion_data_C8H6Br0(0)_1880-659,1263.0,1231.2891,0.1051607644185423,0.090982218272984,0.9054754869622303,0.1006424521325859,-7.459711112326375e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1265.0,1233.2067,0.0796773508191108,0.0786809576675295,0.9903116550575132,0.0118067759918563,-8.784774582580193e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,1267.0,1235.1243,0.0948485061526298,0.0971150659024715,1.0372134310624992,-0.0353790138514539,2.6423297602758166e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1269.0,1237.0419,0.1159313898533582,0.1293440610170364,1.0304121483300448,-0.0273375636166007,2.049399124055093e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1273.0,1240.8771,0.0809712540358305,0.0794033082202076,0.9960692457715214,0.0089193463347124,-6.735981016670454e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,1275.0,1242.7947,0.1175480391830205,0.0997940581291914,0.927112721314794,0.0779519619815573,-5.908407513893394e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1281.0,1248.5475,0.0932953134179115,0.0922426804900169,0.94617614326074,0.0584145881608792,-4.474979749781588e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1283.0,1250.4651,0.0923508983105421,0.0830143187195062,0.981722462976886,0.0240437180738631,-1.848331895931969e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1285.0,1252.3826999999999,0.0861403867602348,0.0984366470947861,0.9730462382416916,0.0364308560101606,-2.810214460433182e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1287.0,1254.3002999999999,0.1142188925296068,0.0957879377529025,0.8754459549708209,0.143557203870884,-0.00011111430993058991
fullrange_depletion_data_C8H6Br0(0)_1880-659,1290.0,1257.1767,0.0896544493734836,0.0702193463221192,0.8907633974533936,0.1270207053881563,-9.880985599102399e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1294.0,1261.0119,0.0995080582797527,0.080022444948554,0.8560421938907598,0.1606362468285843,-0.00012578180270860168
fullrange_depletion_data_C8H6Br0(0)_1880-659,1297.0,1263.8882999999998,0.0897028483450412,0.0974936317652463,0.8733190612274356,0.1498585168958423,-0.00011790919247678536
fullrange_depletion_data_C8H6Br0(0)_1880-659,1299.0,1265.8058999999998,0.1125605255365371,0.0857940074056387,0.8203788323753948,0.2160122387154459,-0.00017049751850166896
fullrange_depletion_data_C8H6Br0(0)_1880-659,1302.0,1268.6823,0.083447128534317,0.0579889682121574,0.769890339860113,0.2732637718625927,-0.00021669564410394364
fullrange_depletion_data_C8H6Br0(0)_1880-659,1307.0,1273.4762999999998,0.0954623352736234,0.067955476231873,0.7460197392238689,0.2938166256801657,-0.00023476879935765643
fullrange_depletion_data_C8H6Br0(0)_1880-659,1309.0,1275.3938999999998,0.0877487324178218,0.078085521236062,0.806376314370291,0.2168260235938596,-0.00017376571213452964
fullrange_depletion_data_C8H6Br0(0)_1880-659,1313.0,1279.2290999999998,0.0877896696329116,0.0817722622305154,0.9252324634562388,0.0833459527342876,-6.718365771488097e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1316.0,1282.1055,0.0941854175180196,0.0815941523760557,0.9774089444265512,0.0261487520744452,-2.1168029553611783e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1318.0,1284.0230999999999,0.087565453723073,0.1013307943940162,1.0081318703100124,-0.0013361736786935,1.0846878148857883e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,1320.0,1285.9406999999999,0.0986431688070297,0.0909879766404628,0.9986086760277136,0.0076485695673584,-6.226120588365839e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,1322.0,1287.8582999999999,0.0823719482868909,0.0858173593878746,1.0108020776570046,-0.0072730407313554,5.936519146980673e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,1325.0,1290.7347,0.1011590659618377,0.091143777128309,0.9743198463192116,0.0271091423344297,-2.221609779812656e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1326.0,1291.6934999999999,0.0877833552658557,0.093013709411025,0.9660501568422692,0.0360197408590347,-2.955717101138911e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1337.0,1302.2403,0.120149927213788,0.1155847404152154,0.9628584026833288,0.0405420301081383,-3.3730550163661045e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1341.0,1306.0755,0.0940860453993082,0.0843717893585562,1.0163209129710669,-0.0118846141879698,9.934768062464539e-06
fullrange_depletion_data_C8H6Br0(0)_1880-659,1343.0,1307.9931,0.0901872143149375,0.1027667112648487,1.0768487232243105,-0.0676441350806871,5.6676782334202965e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1345.0,1309.9107,0.0898673925548791,0.1028883568942546,1.1362502479987442,-0.1268868848336254,0.00010655591848561468
fullrange_depletion_data_C8H6Br0(0)_1880-659,1347.0,1311.8283,0.1210930421948432,0.1425791252404451,1.100116631741471,-0.0898443227257929,7.561722495090335e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1349.0,1313.7459,0.0865614134818315,0.0827334802597761,0.9939384587695984,0.0149862107670595,-1.2640803522784399e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1351.0,1315.6634999999999,0.1022751703858375,0.086323270574212,0.9029645975613008,0.1002590091514471,-8.475055313826131e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1353.0,1317.5810999999999,0.0868944246321916,0.0825773619581013,0.9601085416159204,0.04698005365505,-3.9797199925769196e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1357.0,1321.4162999999999,0.0891560222953558,0.0870691100135445,1.0396165371398725,-0.028747787665118,2.4453112568381155e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1359.0,1323.3338999999999,0.0803491957485675,0.1026391442865133,1.0443594827342817,-0.030253481484466,2.5785527338001253e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1361.0,1325.2514999999999,0.1017114091664552,0.089423993602395,0.9714745493725347,0.0472205541370559,-4.03261232554974e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1363.0,1327.1690999999998,0.1272339932620525,0.1036132890731096,0.9033791180840666,0.1124682102056156,-9.623294277061002e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1367.0,1331.0042999999998,0.0954391798004508,0.0835576271638274,0.8723696917965499,0.133598246525168,-0.000114742343422192
fullrange_depletion_data_C8H6Br0(0)_1880-659,1369.0,1332.9218999999998,0.0857762452214956,0.0840454064309597,0.9462127908677704,0.0590966414813684,-5.084828001679509e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1371.0,1334.8394999999998,0.0880251275375485,0.0913799088448286,0.9700657785265384,0.0317690756169755,-2.7383733231381446e-05
fullrange_depletion_data_C8H6Br0(0)_1880-659,1373.0,1336.7570999999998,0.0974523397162556,0.0862897904589772,0.9345908482575024,0.0691450126123707,-5.970458911586086e-05
